navn,Areal type,area,95% CI
Fredrikstad,ikke bebygd - stabil,515.90991,9.426438474250775
Fredrikstad,nedbygging,1.731751,1.4611009281633696
Fredrikstad,gjengroing,0.107003,NA
Fredrikstad,bebygd - stabil,41.404239,6.605950329841374
Hol,ikke bebygd - stabil,1847.730443,42.96707642096005
Hol,nedbygging,1.823929,1.9410404291676435
Hol,gjengroing,0.063971,0.050772267778195254
Hol,bebygd - stabil,4.914861,2.2976085131869497
Sarpsborg,ikke bebygd - stabil,395.5867,5.244499162486781
Sarpsborg,nedbygging,1.71898,1.7745054566390934
Sarpsborg,gjengroing,0.118333,0.2199935985237374
Sarpsborg,bebygd - stabil,29.646136,5.464793788452745
Hole,ikke bebygd - stabil,187.672313,2.252527768101113
Hole,nedbygging,0.621848,0.617641211728779
Hole,gjengroing,0.089177,0.1080757658813221
Hole,bebygd - stabil,4.308159,1.2816055953475667
Hemsedal,ikke bebygd - stabil,749.627624,8.133668817278673
Hemsedal,nedbygging,0.794446,1.2558257291233603
Hemsedal,gjengroing,0.068453,NA
Hemsedal,bebygd - stabil,3.02315,2.229367887248154
Gol,ikke bebygd - stabil,525.644573,6.777304189096511
Gol,nedbygging,1.286272,0.6461299395556026
Gol,gjengroing,0.161559,0.18122991009016054
Gol,bebygd - stabil,5.40969,3.0425228938800633
Bærum,ikke bebygd - stabil,174.580298,4.799883560970926
Bærum,nedbygging,0.95192,0.649182173680375
Bærum,gjengroing,0.230713,0.3760538772371697
Bærum,bebygd - stabil,40.958312,6.229021181408274
Asker,ikke bebygd - stabil,485.722835,8.965109131487194
Asker,nedbygging,2.667935,1.8501373752078571
Asker,gjengroing,0.332533,0.21333614992605324
Asker,bebygd - stabil,46.095642,10.593231169232011
