navn,kommunenum,year,Bebygd,Avling,Barmark,Gress,Busk,Skog,Vann,Våtmark,Snø og is
Aremark,3012,2022,3.131942,12.657668,0.001536,5.421565,3.462277,261.681249,32.913388,NA,NA
Asker,3025,2022,59.084236,23.744881,0.497527,6.842773,2.753228,274.088823,167.785193,0.013457,0.008828
Aurskog-Høland,3026,2022,20.966863,83.983831,0.326481,14.800951,21.48024,925.869749,77.298121,0.074093,7.06e-4
Bærum,3024,2022,46.838467,7.098349,0.167341,4.422639,0.54695800000000006,130.276643,27.370161,4.84e-4,2.01e-4
Drammen,3005,2022,43.752123,17.126504,0.223025,4.087557,1.724507,240.531345,37.688931,0.0182,0.001113
Eidsvoll,3035,2022,22.595417,27.134051,0.692149,14.047663,4.572391,319.149954,68.295529,NA,0.00793
Enebakk,3028,2022,9.39098,18.528386,0.120833,4.494726,0.886913,165.259126,33.901014,2.02e-4,NA
Flesberg,3050,2022,8.229464,3.971717,0.048757,4.843116,21.16842,504.272141,19.138921,0.020692,0.224216
Flå,3039,2022,6.126495,1.923154,0.123005,11.311152,78.765152,576.468472,29.323162,9.9e-5,0.231617
Fredrikstad,3004,2022,54.256544,57.649081,0.976039,4.711916,9.31722,154.599606,277.330427,0.29265,0.019422
Frogn,3022,2022,12.278556,11.324816,0.068061,1.356156,1.374527,58.403981,30.552527,NA,0.014841
Gjerdrum,3032,2022,5.029116,19.222191,0.016373,2.880573,0.743998,55.013021,0.286241,NA,NA
Gol,3041,2022,11.182111,1.313387,0.418976,19.023094,50.215093,435.823336,14.283466,0.237235,0.005396
Halden,3001,2022,27.189664,47.39149,0.201804,8.104109,8.528786,510.197821,59.805121,0.005353,0.008391
Hemsedal,3042,2022,6.950284,1.652652,85.262791000000007,58.663814,212.887523,322.57864,38.218271,0.167256,27.13244
Hol,3044,2022,12.059117,0.638005,41.686109,125.560569,498.232371,793.005956,183.675289,0.802027,198.873761
Hole,3038,2022,7.756464,19.642265,0.118686,2.220724,0.972251,104.651557,57.290887,0.038663,NA
Hurdal,3037,2022,4.620123,1.482105,0.012928,8.554989,2.737887,245.469288,22.021256,0.055702,NA
Hvaler,3011,2022,8.168729,0.582538,2.255461,1.58283,19.139183,55.254524,431.348166,0.028279,0.199736
Indre Østfold,3014,2022,43.698236,195.486179,1.380375,24.413343,9.935128,484.841748,31.993994,0.013517,0.004674
Jevnaker,3053,2022,7.77148,8.813857,0.331229,5.692432,3.65014,170.021479,29.426551,0.006015,1e-4
