system:index,area,batch,classNumber,kommunenum,navn,.geo
00000000000000000137_0,4.145113E7,dw2016,1,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_1,8.8031105E7,dw2016,2,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_2,1220865.0,dw2016,3,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_3,1.6004472E7,dw2016,4,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_4,3549327.0,dw2016,5,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_5,2.63583706E8,dw2016,6,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_6,154470.0,dw2016,7,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_7,4.2609381E7,dw2016,8,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,1.382023E7,dw2016,1,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_1,2.7447195E7,dw2016,2,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_2,615825.0,dw2016,3,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_3,2528923.0,dw2016,4,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_4,1936735.0,dw2016,5,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_5,8.7242243E7,dw2016,6,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_6,1.7874986E7,dw2016,8,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_7,1067.0,dw2016,9,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,4700589.0,dw2016,1,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_1,1.6460483E7,dw2016,2,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_2,1254353.0,dw2016,3,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_3,4559855.0,dw2016,4,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_4,1465334.0,dw2016,5,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_5,5.4465998E7,dw2016,6,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_6,284900.0,dw2016,8,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,1.1406306E7,dw2016,1,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_1,9622711.0,dw2016,2,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_2,225319.0,dw2016,3,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_3,4882470.0,dw2016,4,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_4,1013514.0,dw2016,5,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_5,1.54776745E8,dw2016,6,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_6,4299016.0,dw2016,8,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,2.7947019E7,dw2016,1,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_1,6.7020059E7,dw2016,2,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_2,3554802.0,dw2016,3,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_3,1.4662622E7,dw2016,4,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_4,3371710.0,dw2016,5,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_5,1.34318804E8,dw2016,6,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
