system:index,area,batch,classNumber,kommunenum,navn,.geo
00000000000000000137_0,4.2051151E8,dwChange_2016_2022,1,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_1,2575106.0,dwChange_2016_2022,2,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_2,385458.0,dwChange_2016_2022,3,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_3,3.3132381E7,dwChange_2016_2022,4,3030,Lillestrøm,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,1.38859494E8,dwChange_2016_2022,1,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_1,1783511.0,dwChange_2016_2022,2,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_2,126264.0,dwChange_2016_2022,3,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_3,1.0697934E7,dwChange_2016_2022,4,3019,Vestby,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,7.9344027E7,dwChange_2016_2022,1,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_1,543752.0,dwChange_2016_2022,2,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_2,81240.0,dwChange_2016_2022,3,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_3,3222493.0,dwChange_2016_2022,4,3032,Gjerdrum,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,1.75769942E8,dwChange_2016_2022,1,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_1,629777.0,dwChange_2016_2022,2,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_2,83386.0,dwChange_2016_2022,3,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_3,9742976.0,dwChange_2016_2022,4,3031,Nittedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,2.26282684E8,dwChange_2016_2022,1,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_1,2560911.0,dwChange_2016_2022,2,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_2,258941.0,dwChange_2016_2022,3,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_3,2.3344441E7,dwChange_2016_2022,4,3033,Ullensaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,5.8256964E7,dwChange_2016_2022,1,3029,Lørenskog,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_1,447609.0,dwChange_2016_2022,2,3029,Lørenskog,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_2,49836.0,dwChange_2016_2022,3,3029,Lørenskog,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_3,1.1791184E7,dwChange_2016_2022,4,3029,Lørenskog,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,4.38373064E8,dwChange_2016_2022,1,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_1,2677333.0,dwChange_2016_2022,2,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_2,388323.0,dwChange_2016_2022,3,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_3,1.5056364E7,dwChange_2016_2022,4,3035,Eidsvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,2.25515809E8,dwChange_2016_2022,1,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_1,1313396.0,dwChange_2016_2022,2,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_2,23290.0,dwChange_2016_2022,3,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_3,5729684.0,dwChange_2016_2022,4,3028,Enebakk,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,2.85602822E8,dwChange_2016_2022,1,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_1,1112428.0,dwChange_2016_2022,2,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_2,47724.0,dwChange_2016_2022,3,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_3,5079478.0,dwChange_2016_2022,4,3054,Lunner,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,4.26949194E8,dwChange_2016_2022,1,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_1,827822.0,dwChange_2016_2022,2,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_2,30700.0,dwChange_2016_2022,3,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_3,7063940.0,dwChange_2016_2022,4,3016,Rakkestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_0,1.74580298E8,dwChange_2016_2022,1,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_1,951920.0,dwChange_2016_2022,2,3024,Bærum,"{""type"":""MultiPoint"",""coordinates"":[]}"
