system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,2022LC,2016LC,.geo
446,"59.61044, 10.45271",59.61044,10.45271,id_10060416,Asker_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.452706126857645,59.61044376365122]}"
294,"59.50586, 10.5498",59.50586,10.5498,id_10145985,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.549801792411762,59.505864894082514]}"
334,"59.75564, 10.40543",59.75564,10.40543,id_1016209,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.405428200356793,59.75564358664439]}"
162,"59.7777, 10.49862",59.7777,10.49862,id_10423320,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.498620359140302,59.77769535801498]}"
313,"59.75931, 10.52753",59.75931,10.52753,id_105812,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.527526377340209,59.75931058235725]}"
425,"59.77109, 10.44721",59.77109,10.44721,id_10653951,Asker_change_dw_2016_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.447214149751442,59.77108645443212]}"
399,"59.5761, 10.48008",59.5761,10.48008,id_10667293,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.480084678401647,59.57609833744016]}"
65,"59.76969, 10.45998",59.76969,10.45998,id_10921526,Asker_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.459975047377764,59.769688013776275]}"
182,"59.63834, 10.58003",59.63834,10.58003,id_11366661,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.580029748447222,59.638339752175156]}"
387,"59.84061, 10.44613",59.84061,10.44613,id_11492897,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.446126340360502,59.84061091199553]}"
302,"59.62826, 10.55207",59.62826,10.55207,id_11510944,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.552069696034513,59.62825531612265]}"
412,"59.75986, 10.42252",59.75986,10.42252,id_11695913,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.42251740570159,59.75986039500904]}"
298,"59.51632, 10.50079",59.51632,10.50079,id_1175676,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.500793942973598,59.51631606426872]}"
167,"59.71425, 10.39605",59.71425,10.39605,id_11897976,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.396047475279797,59.714251638439414]}"
124,"59.57435, 10.52303",59.57435,10.52303,id_12067809,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.52302948497624,59.57434852988574]}"
424,"59.55181, 10.56819",59.55181,10.56819,id_12132582,Asker_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.568189737620742,59.551810821455106]}"
119,"59.76847, 10.40668",59.76847,10.40668,id_12227819,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.406679636822432,59.76847291658147]}"
261,"59.69432, 10.48583",59.69432,10.48583,id_12298711,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.485831566631758,59.69431618468572]}"
445,"59.80573, 10.3824",59.80573,10.3824,id_12405127,Asker_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.382400552177986,59.805731550977775]}"
277,"59.51168, 10.50554",59.51168,10.50554,id_12591699,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.505536070624366,59.51168103677894]}"
195,"59.77537, 10.38257",59.77537,10.38257,id_12951668,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.382569868857084,59.77537453316591]}"
81,"59.55587, 10.45779",59.55587,10.45779,id_12976196,Asker_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.457786474672467,59.55587114989894]}"
39,"59.84653, 10.34518",59.84653,10.34518,id_1311422,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.345182990176529,59.846530627885834]}"
219,"59.55702, 10.47518",59.55702,10.47518,id_13270574,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.475177536751362,59.557023522547226]}"
466,"59.77153, 10.44741",59.77153,10.44741,id_13286777,Asker_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.44741157740802,59.77153333031782]}"
100,"59.49238, 10.56596",59.49238,10.56596,id_13390136,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.565962193240832,59.49237964448128]}"
225,"59.49137, 10.5373",59.49137,10.5373,id_13511390,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.537304544785075,59.49137252496431]}"
394,"59.55912, 10.59507",59.55912,10.59507,id_13530871,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.595074729711888,59.559120283700395]}"
177,"59.71811, 10.46271",59.71811,10.46271,id_13621573,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.462705343551574,59.71810641397072]}"
191,"59.61827, 10.50764",59.61827,10.50764,id_13770337,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.50764430982836,59.618265655717124]}"
66,"59.87951, 10.42888",59.87951,10.42888,id_13869260,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.428877485195192,59.8795066715791]}"
292,"59.79032, 10.5407",59.79032,10.5407,id_13993991,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.540704478961269,59.79032142645282]}"
121,"59.53212, 10.53987",59.53212,10.53987,id_14325014,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.539867036332277,59.532118411227465]}"
508,"59.84052, 10.43024",59.84052,10.43024,id_14351771,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.430239872363776,59.840515039934886]}"
295,"59.69554, 10.54346",59.69554,10.54346,id_14413090,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.543455228660065,59.69553731611132]}"
538,"59.82023, 10.45345",59.82023,10.45345,id_14653632,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.453447016607434,59.82023340176485]}"
386,"59.63644, 10.4329",59.63644,10.4329,id_14791416,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.432899782901695,59.63643773243237]}"
257,"59.65046, 10.49614",59.65046,10.49614,id_14845220,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.49613530660868,59.65046064135607]}"
181,"59.5506, 10.54195",59.5506,10.54195,id_14995868,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.541948894733647,59.55059572880602]}"
28,"59.66306, 10.43759",59.66306,10.43759,id_15172251,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.437585785259271,59.66306038234485]}"
227,"59.61665, 10.48417",59.61665,10.48417,id_15240554,Asker_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.48417265509186,59.61664748500653]}"
222,"59.55383, 10.6088",59.55383,10.6088,id_15342387,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.608802933565867,59.55383278121931]}"
389,"59.78869, 10.46366",59.78869,10.46366,id_15793183,Asker_change_dw_2016_2022,2,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.463655977159467,59.788686823697624]}"
507,"59.78374, 10.43208",59.78374,10.43208,id_15807215,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.43208472599031,59.78373565757881]}"
404,"59.68948, 10.47709",59.68948,10.47709,id_15815658,Asker_change_dw_2016_2022,2,3,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.477089918544372,59.68947521362404]}"
115,"59.67654, 10.46942",59.67654,10.46942,id_1598221,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.46941727995734,59.676538676872276]}"
415,"59.78258, 10.45519",59.78258,10.45519,id_16048802,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.455194046877068,59.78258385073382]}"
287,"59.59162, 10.46536",59.59162,10.46536,id_16311466,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.465356256355928,59.591621934031835]}"
300,"59.77324, 10.47135",59.77324,10.47135,id_16321591,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.471350275647154,59.77324341298697]}"
122,"59.6602, 10.50828",59.6602,10.50828,id_16336360,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.508283955247073,59.66020087061842]}"
152,"59.77462, 10.46037",59.77462,10.46037,id_16427342,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.46036867172688,59.7746231986517]}"
544,"59.83576, 10.44609",59.83576,10.44609,id_16465962,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.446094476975036,59.83576157614738]}"
363,"59.76434, 10.3287",59.76434,10.3287,id_16487322,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.328700930712087,59.76434477031057]}"
327,"59.59302, 10.42822",59.59302,10.42822,id_16664594,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.428217714040693,59.59302003344978]}"
318,"59.77375, 10.42507",59.77375,10.42507,id_16702868,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.425067548722179,59.773753244119916]}"
134,"59.78147, 10.36661",59.78147,10.36661,id_16827249,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.366611661407607,59.78146872105433]}"
348,"59.51977, 10.54337",59.51977,10.54337,id_16972237,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.543369563385964,59.51977249362879]}"
95,"59.55678, 10.61036",59.55678,10.61036,id_17038782,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.61035906592415,59.55677757349518]}"
12,"59.73346, 10.41392",59.73346,10.41392,id_17082192,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.413924711100181,59.73345929350451]}"
454,"59.54665, 10.49524",59.54665,10.49524,id_17158620,Asker_change_dw_2016_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.495243942872834,59.54664691583335]}"
200,"59.65134, 10.58224",59.65134,10.58224,id_17303848,Asker_change_dw_2016_2022,1,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.582238017891518,59.65133618822662]}"
461,"59.65549, 10.58758",59.65549,10.58758,id_17442737,Asker_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.587580583661431,59.65549289292304]}"
280,"59.49882, 10.56803",59.49882,10.56803,id_17581139,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.568027135543456,59.49882163678007]}"
130,"59.62542, 10.55602",59.62542,10.55602,id_17584871,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.556017281527163,59.625424285739726]}"
135,"59.84477, 10.419",59.84477,10.419,id_17871981,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.418999915796427,59.84476786119948]}"
289,"59.54528, 10.57355",59.54528,10.57355,id_1810851,Asker_change_dw_2016_2022,1,5,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.573546774021032,59.545279828324816]}"
469,"59.55048, 10.48975",59.55048,10.48975,id_18205932,Asker_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.48975253997713,59.55048170763234]}"
380,"59.66971, 10.43769",59.66971,10.43769,id_18937821,Asker_change_dw_2016_2022,2,1,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.43769276883919,59.669705227670946]}"
339,"59.82037, 10.35697",59.82037,10.35697,id_19027572,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.356968727041094,59.82036555151124]}"
234,"59.6979, 10.44654",59.6979,10.44654,id_19343407,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.446542125645646,59.69789842145403]}"
268,"59.84639, 10.35874",59.84639,10.35874,id_19352199,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.358741938694202,59.84639140109179]}"
107,"59.72906, 10.3458",59.72906,10.3458,id_19533175,Asker_change_dw_2016_2022,1,4,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.345797644625883,59.72905580089959]}"
150,"59.87798, 10.54011",59.87798,10.54011,id_19750661,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.540114553692185,59.87798382382311]}"
421,"59.7434, 10.39175",59.7434,10.39175,id_19940934,Asker_change_dw_2016_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.39174684684315,59.743395524321656]}"
253,"59.70429, 10.45375",59.70429,10.45375,id_20019107,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.453749068682992,59.70428519311131]}"
193,"59.707, 10.3506",59.707,10.3506,id_20042777,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.350599856203218,59.7070033685849]}"
62,"59.63402, 10.58834",59.63402,10.58834,id_20160401,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.588339977843654,59.63401806160492]}"
223,"59.61097, 10.61526",59.61097,10.61526,id_20400790,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.61525575113658,59.610965945234256]}"
169,"59.60655, 10.45537",59.60655,10.45537,id_20651137,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.455373540646749,59.60655224489682]}"
27,"59.61506, 10.54402",59.61506,10.54402,id_20836939,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.544015929595156,59.61505798980905]}"
32,"59.65244, 10.54218",59.65244,10.54218,id_20838010,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.54218464790403,59.65244199107227]}"
9,"59.58087, 10.61558",59.58087,10.61558,id_20914336,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.615583595939716,59.580873682357804]}"
256,"59.48078, 10.55978",59.48078,10.55978,id_21047214,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.559775245271224,59.480777548963786]}"
141,"59.76054, 10.34973",59.76054,10.34973,id_21184374,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.349734384977275,59.76053815266674]}"
178,"59.63123, 10.49688",59.63123,10.49688,id_21348616,Asker_change_dw_2016_2022,1,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.496875710273564,59.631232308510235]}"
317,"59.74856, 10.43716",59.74856,10.43716,id_21353362,Asker_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.437164006766151,59.7485646294731]}"
491,"59.81358, 10.44602",59.81358,10.44602,id_21475550,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.446024891622317,59.81357947555175]}"
97,"59.68514, 10.46287",59.68514,10.46287,id_21599082,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.462866696178502,59.685143948239514]}"
34,"59.67753, 10.56252",59.67753,10.56252,id_21746979,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.5625170150001,59.67752875748267]}"
419,"59.75424, 10.34254",59.75424,10.34254,id_21968108,Asker_change_dw_2016_2022,2,1,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.342538554952823,59.754235474301645]}"
38,"59.74885, 10.41956",59.74885,10.41956,id_22345309,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.419557701767248,59.7488458180506]}"
474,"59.8345, 10.42998",59.8345,10.42998,id_22450006,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.429981937033789,59.83450065957927]}"
72,"59.79958, 10.35202",59.79958,10.35202,id_22937365,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.352024849080973,59.79958107935306]}"
40,"59.7366, 10.43114",59.7366,10.43114,id_23018222,Asker_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.431135381972577,59.73659589396681]}"
55,"59.7009, 10.39354",59.7009,10.39354,id_23140905,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.393536617705173,59.70089666560168]}"
475,"59.81159, 10.47946",59.81159,10.47946,id_23363968,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.4794590128476,59.811591197485974]}"
33,"59.58218, 10.52161",59.58218,10.52161,id_23665207,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.521612603496017,59.58217880593741]}"
391,"59.72598, 10.5132",59.72598,10.5132,id_23675168,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.513201077107608,59.72597658254881]}"
519,"59.82589, 10.43764",59.82589,10.43764,id_23852377,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.437639500452077,59.82588539859454]}"
126,"59.58327, 10.58843",59.58327,10.58843,id_2393075,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.588425989872633,59.583271633091535]}"
270,"59.85199, 10.4152",59.85199,10.4152,id_23982798,Asker_change_dw_2016_2022,1,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.415201740779336,59.85199340440356]}"
116,"59.57438, 10.4492",59.57438,10.4492,id_24087287,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.449203715881874,59.57437802643591]}"
320,"59.85542, 10.54193",59.85542,10.54193,id_24164919,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.541928127101878,59.85542015582307]}"
533,"59.83348, 10.42512",59.83348,10.42512,id_24600541,Asker_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.425120789381094,59.833475675887136]}"
208,"59.87545, 10.34474",59.87545,10.34474,id_24648438,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.344743556705664,59.875452901847304]}"
405,"59.53813, 10.42094",59.53813,10.42094,id_24672685,Asker_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.420942580178417,59.53813418034397]}"
448,"59.81615, 10.3568",59.81615,10.3568,id_24724601,Asker_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.356797183001577,59.816146364913905]}"
92,"59.76757, 10.4159",59.76757,10.4159,id_24760590,Asker_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.415900717597369,59.76756563765439]}"
205,"59.72622, 10.4515",59.72622,10.4515,id_250232,Asker_change_dw_2016_2022,1,2,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.451499923603171,59.72622388615169]}"
293,"59.75408, 10.32224",59.75408,10.32224,id_2502790,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.322241793382453,59.75408201485348]}"
401,"59.83965, 10.4518",59.83965,10.4518,id_25040782,Asker_change_dw_2016_2022,2,1,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.451795042035611,59.839650428205466]}"
202,"59.83171, 10.39757",59.83171,10.39757,id_25093504,Asker_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.397570822756467,59.8317054853714]}"
89,"59.64882, 10.42598",59.64882,10.42598,id_25266996,Asker_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.425975481236827,59.64881734812439]}"
