system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
71,"59.9347, 10.48923",59.9347,10.48923,id_10133204,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.489233989861784,59.93469942330017]}"
511,"59.89656, 10.57959",59.89656,10.57959,id_10143157,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.57958614656105,59.89655641662153]}"
475,"59.91772, 10.58954",59.91772,10.58954,id_10193139,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.589535588563866,59.91772201231183]}"
478,"59.92173, 10.59205",59.92173,10.59205,id_10606977,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.59205308065112,59.92173313023006]}"
15,"59.9264, 10.50872",59.9264,10.50872,id_10986334,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.508721493337406,59.92639512736032]}"
76,"59.89139, 10.40151",59.89139,10.40151,id_11166803,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.401506503399899,59.891385848781354]}"
310,"59.95208, 10.59279",59.95208,10.59279,id_11193115,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.592792256679383,59.95208024158457]}"
252,"59.92383, 10.44134",59.92383,10.44134,id_11203570,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.44133783289619,59.92382594703621]}"
177,"59.9773, 10.4132",59.9773,10.4132,id_11381939,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.413199424910246,59.97729619593861]}"
173,"59.93875, 10.49657",59.93875,10.49657,id_11395490,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.496574824314223,59.93874753363776]}"
112,"59.95041, 10.42495",59.95041,10.42495,id_11461009,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.424945619010506,59.950407449530466]}"
48,"59.89647, 10.63106",59.89647,10.63106,id_11617825,Bærum_change_dw_2016_2022,1,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.631064807823726,59.896468210379076]}"
548,"59.92857, 10.47482",59.92857,10.47482,id_11723108,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.474824175914216,59.92857475505721]}"
6,"59.96199, 10.4421",59.96199,10.4421,id_12092848,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.442099674040842,59.96198583575878]}"
68,"59.99061, 10.52437",59.99061,10.52437,id_12141694,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.524371577098638,59.99060822513267]}"
69,"59.93646, 10.36797",59.93646,10.36797,id_12203373,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.36797279369913,59.936461863870726]}"
222,"59.88114, 10.41894",59.88114,10.41894,id_12250896,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.418942100957345,59.88114078552789]}"
374,"59.96653, 10.61588",59.96653,10.61588,id_12324080,Bærum_change_dw_2016_2022,2,1,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.6158781278087,59.96652851541918]}"
123,"60.01124, 10.46272",60.01124,10.46272,id_12329431,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.462719698330218,60.011242782529266]}"
218,"59.91697, 10.48486",59.91697,10.48486,id_12364356,Bærum_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.48486212225325,59.916966603378796]}"
227,"59.97182, 10.37875",59.97182,10.37875,id_12377407,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.378747152000175,59.971823133932574]}"
390,"59.94223, 10.49852",59.94223,10.49852,id_12727525,Bærum_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.498521702863881,59.942227970529736]}"
523,"59.93721, 10.61177",59.93721,10.61177,id_12843933,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.611766751020971,59.93721059782879]}"
194,"60.0095, 10.46605",60.0095,10.46605,id_12985599,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.466050611238794,60.00949952079969]}"
307,"59.94482, 10.35847",59.94482,10.35847,id_1305817,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.358471651934533,59.944822211610095]}"
316,"59.93894, 10.60236",59.93894,10.60236,id_13131333,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.602364376835405,59.93894175816453]}"
536,"59.90053, 10.62179",59.90053,10.62179,id_13133237,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.621788729075726,59.90053441374189]}"
197,"59.91571, 10.3859",59.91571,10.3859,id_13373188,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.385898368118895,59.91570900024356]}"
327,"59.95325, 10.36884",59.95325,10.36884,id_1358430,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.368843558997641,59.953246579026946]}"
242,"59.89258, 10.44088",59.89258,10.44088,id_13674469,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.440877629483444,59.89257779443582]}"
334,"59.97718, 10.3813",59.97718,10.3813,id_14035105,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.38129949459351,59.977184808637126]}"
398,"59.94568, 10.39664",59.94568,10.39664,id_14095795,Bærum_change_dw_2016_2022,2,3,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.39663711406219,59.94568097744365]}"
384,"59.89513, 10.61563",59.89513,10.61563,id_14200886,Bærum_change_dw_2016_2022,2,1,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.615626472630403,59.895131580557155]}"
391,"59.94343, 10.40549",59.94343,10.40549,id_14387265,Bærum_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.40549271778803,59.94343156528792]}"
463,"59.94678, 10.50105",59.94678,10.50105,id_14412796,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.501054480324115,59.94677941928662]}"
230,"59.93993, 10.37116",59.93993,10.37116,id_14736711,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.37115843493252,59.9399312312812]}"
37,"59.95755, 10.59323",59.95755,10.59323,id_15314378,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.593234042237281,59.95755335074689]}"
73,"59.89224, 10.41387",59.89224,10.41387,id_15550115,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.413874858874642,59.892241613552635]}"
353,"59.89233, 10.4389",59.89233,10.4389,id_156707,Bærum_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.43890085810919,59.89232996863174]}"
300,"59.95421, 10.45483",59.95421,10.45483,id_15921474,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.454833602159663,59.95421241946026]}"
544,"59.93977, 10.60061",59.93977,10.60061,id_15948262,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.600614476676961,59.93977130319234]}"
166,"59.99027, 10.42612",59.99027,10.42612,id_15998179,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.42612136718306,59.99026901256423]}"
51,"60.00699, 10.47383",60.00699,10.47383,id_16410037,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.47383086246121,60.00698814246873]}"
429,"59.93672, 10.61532",59.93672,10.61532,id_16695661,Bærum_change_dw_2016_2022,3,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.615322384636814,59.93671804315252]}"
85,"59.95333, 10.62329",59.95333,10.62329,id_16700257,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.623293251613719,59.95332508844342]}"
138,"59.93238, 10.49539",59.93238,10.49539,id_16843298,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.495393402494573,59.932384512774405]}"
47,"59.99746, 10.52236",59.99746,10.52236,id_16904635,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.522355763377673,59.997456930981876]}"
294,"59.97775, 10.42128",59.97775,10.42128,id_17118807,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.421282252068305,59.977748259252216]}"
497,"59.91584, 10.5052",59.91584,10.5052,id_17660667,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.505201676780386,59.91583787471988]}"
514,"59.90419, 10.6023",59.90419,10.6023,id_17684436,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.602298605139099,59.904185635963636]}"
521,"59.88682, 10.51425",59.88682,10.51425,id_17835052,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.51425365946119,59.88681554222528]}"
26,"59.92292, 10.41733",59.92292,10.41733,id_17842627,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.417326562138637,59.92291871590304]}"
461,"59.92798, 10.62456",59.92798,10.62456,id_17955800,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.62455987339226,59.927982679602565]}"
245,"59.95758, 10.5225",59.95758,10.5225,id_17956069,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.522495965182758,59.95758022746245]}"
449,"59.91024, 10.58399",59.91024,10.58399,id_1797528,Bærum_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.58399192219425,59.91024461887921]}"
215,"59.91292, 10.40349",59.91292,10.40349,id_18149829,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.403487180873068,59.91291853297598]}"
447,"59.91028, 10.48081",59.91028,10.48081,id_18400202,Bærum_change_dw_2016_2022,3,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.480807925862111,59.91027654605273]}"
121,"59.92408, 10.39305",59.92408,10.39305,id_1844562,Bærum_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.393045468895586,59.9240755303782]}"
199,"59.96396, 10.61289",59.96396,10.61289,id_18531392,Bærum_change_dw_2016_2022,1,4,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.612887066013046,59.9639605898525]}"
528,"59.92829, 10.48394",59.92829,10.48394,id_18707363,Bærum_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.483936883375177,59.92829291218279]}"
