system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
390,"59.19363, 10.95775",59.19363,10.95775,id_10054771,Fredrikstad_change_dw_2017_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.957754115223835,59.19363478325144]}"
466,"59.17805, 10.96649",59.17805,10.96649,id_10456209,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.966488433646191,59.178052339368854]}"
237,"59.2216, 10.96181",59.2216,10.96181,id_10768849,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.96180927781191,59.221600164235305]}"
180,"59.23574, 10.92914",59.23574,10.92914,id_10964144,Fredrikstad_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.929138316363114,59.23574270914966]}"
516,"59.22861, 10.90718",59.22861,10.90718,id_10971613,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.907177736776012,59.22861090470396]}"
379,"59.13926, 10.91741",59.13926,10.91741,id_10983205,Fredrikstad_change_dw_2017_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.917413649815554,59.13926141989806]}"
159,"59.29182, 10.81502",59.29182,10.81502,id_11056837,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.815017732980122,59.291818570711676]}"
366,"59.18382, 10.84289",59.18382,10.84289,id_11147169,Fredrikstad_change_dw_2017_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.842893464643838,59.1838163660405]}"
488,"59.21496, 11.00821",59.21496,11.00821,id_11197013,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.00820684591329,59.21496316655772]}"
264,"59.148, 11.05639",59.148,11.05639,id_112017,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.056390297817567,59.14800428858201]}"
505,"59.2342, 11.0479",59.2342,11.0479,id_11552137,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.04790388003784,59.23419655405403]}"
151,"59.26439, 10.91725",59.26439,10.91725,id_11566756,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.917248487308868,59.26439364268428]}"
295,"59.2475, 11.11447",59.2475,11.11447,id_11653611,Fredrikstad_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.11446686062523,59.24750464163591]}"
540,"59.18362, 11.07043",59.18362,11.07043,id_11751160,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.070433204331682,59.183624101718436]}"
439,"59.24294, 10.73738",59.24294,10.73738,id_11780166,Fredrikstad_change_dw_2017_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.73737581643529,59.24293626944304]}"
456,"59.20312, 10.93045",59.20312,10.93045,id_11828495,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.930449969378557,59.203115806490686]}"
83,"59.15037, 10.8953",59.15037,10.8953,id_11860256,Fredrikstad_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.895302285099659,59.15036538562818]}"
450,"59.20696, 10.81331",59.20696,10.81331,id_12036326,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.813313824933795,59.20695821712254]}"
71,"59.18145, 11.0661",59.18145,11.0661,id_120817,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.066100726306747,59.181447269320536]}"
253,"59.20362, 10.85885",59.20362,10.85885,id_12218350,Fredrikstad_change_dw_2017_2022,1,6,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.858847086827188,59.20362039472458]}"
58,"59.26328, 10.85789",59.26328,10.85789,id_12504559,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.857885847030458,59.26327840141305]}"
273,"59.27261, 10.99247",59.27261,10.99247,id_12817425,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.992471014673214,59.272605953983344]}"
37,"59.30328, 10.95422",59.30328,10.95422,id_12871561,Fredrikstad_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.954215830565778,59.30327808442954]}"
458,"59.20754, 10.80406",59.20754,10.80406,id_12963457,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.80406131510012,59.20753605698401]}"
305,"59.24325, 10.94377",59.24325,10.94377,id_13435141,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.943765267942256,59.24325014779056]}"
255,"59.16292, 10.92136",59.16292,10.92136,id_13452475,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.921361672304771,59.16291772555674]}"
524,"59.26388, 11.02231",59.26388,11.02231,id_1352057,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.02231475808241,59.26388140064802]}"
484,"59.22528, 10.96202",59.22528,10.96202,id_13816204,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.962020555719178,59.2252799419505]}"
219,"59.24709, 10.94504",59.24709,10.94504,id_13927183,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.945036289672506,59.24709374329822]}"
222,"59.15453, 10.824",59.15453,10.824,id_14192490,Fredrikstad_change_dw_2017_2022,1,5,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.824004632216528,59.15453020187137]}"
39,"59.26171, 11.01762",59.26171,11.01762,id_14239973,Fredrikstad_change_dw_2017_2022,1,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.01762445771271,59.261708464327974]}"
179,"59.20929, 10.80048",59.20929,10.80048,id_14384690,Fredrikstad_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.800475573288635,59.20929243057995]}"
319,"59.29756, 10.90981",59.29756,10.90981,id_14905808,Fredrikstad_change_dw_2017_2022,1,1,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.90980656746919,59.2975591677799]}"
268,"59.2719, 10.88275",59.2719,10.88275,id_15049605,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.882748410737438,59.27190370280882]}"
394,"59.30405, 10.8833",59.30405,10.8833,id_1505470,Fredrikstad_change_dw_2017_2022,2,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.883295596880906,59.30405336835217]}"
33,"59.20487, 10.78868",59.20487,10.78868,id_15131910,Fredrikstad_change_dw_2017_2022,1,5,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.788683738805343,59.204874141150334]}"
