system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
223,"60.81171, 9.01737",60.81171,9.01737,id_10001691,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.017369507619337,60.81170842339103]}"
304,"60.69598, 8.97115",60.69598,8.97115,id_10199876,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.971154894944263,60.69597695685822]}"
253,"60.6814, 9.18572",60.6814,9.18572,id_103661,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.185715207824103,60.68139624583566]}"
276,"60.76659, 9.19649",60.76659,9.19649,id_10426574,Gol_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.196486209423128,60.766585003127524]}"
315,"60.75191, 9.16191",60.75191,9.16191,id_10483432,Gol_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.16190548099535,60.75190684018756]}"
464,"60.6908, 8.87521",60.6908,8.87521,id_10513332,Gol_change_dw_2016_2020,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.875207679647056,60.69080431458186]}"
525,"60.6938, 8.92299",60.6938,8.92299,id_10952621,Gol_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.922993334735045,60.69380314086765]}"
358,"60.74669, 8.92874",60.74669,8.92874,id_11058481,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.928736507577083,60.746688426628126]}"
167,"60.64352, 9.0842",60.64352,9.0842,id_11100907,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.084200514718763,60.64352001058773]}"
138,"60.80327, 9.01424",60.80327,9.01424,id_11364941,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.01424108545345,60.8032693157057]}"
296,"60.79246, 9.098",60.79246,9.098,id_11498792,Gol_change_dw_2016_2020,1,5,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.098000789493598,60.79246050089069]}"
310,"60.77255, 8.94043",60.77255,8.94043,id_11537313,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.940428245693697,60.77255143685258]}"
8,"60.72425, 8.94895",60.72425,8.94895,id_11654379,Gol_change_dw_2016_2020,1,5,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.948949706298043,60.72425197904785]}"
480,"60.70342, 8.94623",60.70342,8.94623,id_11804143,Gol_change_dw_2016_2020,3,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.946234946224516,60.70342127649183]}"
320,"60.66415, 9.11316",60.66415,9.11316,id_11854632,Gol_change_dw_2016_2020,1,5,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.113162503031667,60.66414894050875]}"
340,"60.76152, 8.99844",60.76152,8.99844,id_1192209,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.998440104807061,60.76152143476911]}"
25,"60.77865, 9.07611",60.77865,9.07611,id_12265243,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.076108422933695,60.77864826471054]}"
236,"60.70637, 9.17468",60.70637,9.17468,id_12464613,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.174683859182672,60.70637086870523]}"
534,"60.70127, 8.94569",60.70127,8.94569,id_12763451,Gol_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.945689023262707,60.701266262166364]}"
343,"60.7136, 8.86596",60.7136,8.86596,id_1277687,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.86595710501066,60.713600314452755]}"
380,"60.82476, 8.87395",60.82476,8.87395,id_12958242,Gol_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.873950774802088,60.824758536412716]}"
425,"60.71239, 8.93138",60.71239,8.93138,id_1354702,Gol_change_dw_2016_2020,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.931377767070352,60.71239279713079]}"
218,"60.68218, 9.1286",60.68218,9.1286,id_13571488,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.128603302601826,60.682181504723125]}"
329,"60.7457, 9.06631",60.7457,9.06631,id_13870439,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.06630878397058,60.7457033591551]}"
363,"60.70695, 8.79344",60.70695,8.79344,id_14269426,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.7934350477964,60.70695401716163]}"
269,"60.80884, 8.84755",60.80884,8.84755,id_1434022,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.847547870691445,60.80883981960249]}"
413,"60.75149, 8.86323",60.75149,8.86323,id_14391310,Gol_change_dw_2016_2020,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.863230672994476,60.75148590195819]}"
70,"60.65957, 8.89234",60.65957,8.89234,id_14617862,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.892341654177928,60.65957450917008]}"
385,"60.82078, 8.85007",60.82078,8.85007,id_1492627,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.850065046695054,60.820783620765496]}"
322,"60.68849, 9.2394",60.68849,9.2394,id_14979941,Gol_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.239404897585926,60.688493765587324]}"
12,"60.68684, 8.85691",60.68684,8.85691,id_15317930,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.856913868368522,60.68683556075691]}"
81,"60.75223, 8.80764",60.75223,8.80764,id_15473526,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.807637812907359,60.75222576589198]}"
69,"60.67401, 9.20141",60.67401,9.20141,id_15624199,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.201412321744524,60.67401130540808]}"
183,"60.72133, 9.19786",60.72133,9.19786,id_15805071,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.197859407601177,60.721332459515985]}"
111,"60.81521, 9.00285",60.81521,9.00285,id_16264523,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.002849278151263,60.815210997326304]}"
443,"60.82114, 8.98593",60.82114,8.98593,id_16748377,Gol_change_dw_2016_2020,2,1,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.985934833589406,60.82113587121566]}"
65,"60.78698, 8.90257",60.78698,8.90257,id_16873536,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.902566923638307,60.786984214258936]}"
488,"60.7399, 8.86346",60.7399,8.86346,id_16910930,Gol_change_dw_2016_2020,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.863463336420988,60.739904180819615]}"
544,"60.7781, 8.76048",60.7781,8.76048,id_17227150,Gol_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.760478000236732,60.77809705449438]}"
118,"60.84336, 8.81335",60.84336,8.81335,id_17239928,Gol_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.813346017735594,60.843362592943095]}"
288,"60.76781, 9.15501",60.76781,9.15501,id_17262112,Gol_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.155010603203962,60.76780647917168]}"
162,"60.71841, 9.16614",60.71841,9.16614,id_17348604,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.166135455638607,60.71841267532465]}"
219,"60.71679, 8.9332",60.71679,8.9332,id_17433913,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.933201004990313,60.71679308194047]}"
297,"60.77359, 9.11869",60.77359,9.11869,id_17529968,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.118688428874222,60.7735895738497]}"
1,"60.73245, 9.21131",60.73245,9.21131,id_1766230,Gol_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.211312446563971,60.73244503425063]}"
32,"60.77499, 8.7807",60.77499,8.7807,id_17764666,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.780696617477949,60.77498921771476]}"
346,"60.65844, 9.04967",60.65844,9.04967,id_17779794,Gol_change_dw_2016_2020,1,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.049665602672734,60.658441385032745]}"
