system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
385,"60.90404, 8.44727",60.90404,8.44727,id_10108651,Hemsedal_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.44726561540956,60.90403686538979]}"
326,"60.87393, 8.27209",60.87393,8.27209,id_10248120,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.272089827481302,60.873933937595574]}"
511,"60.86548, 8.55803",60.86548,8.55803,id_10340406,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.558033911230583,60.865480685128624]}"
230,"60.93431, 8.29728",60.93431,8.29728,id_10382818,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.297282832366182,60.934312893241]}"
35,"61.00564, 8.46177",61.00564,8.46177,id_10560500,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.461774287341614,61.00563882983]}"
359,"60.94046, 8.32243",60.94046,8.32243,id_1059722,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.322431191657152,60.94045720815491]}"
264,"60.89512, 8.59153",60.89512,8.59153,id_10636864,Hemsedal_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.59153261870865,60.895124816596194]}"
199,"60.87359, 8.34503",60.87359,8.34503,id_10759712,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.345027766079397,60.87359053384871]}"
341,"60.9135, 8.18895",60.9135,8.18895,id_10861946,Hemsedal_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.188945814948593,60.91350258971725]}"
468,"60.8427, 8.62587",60.8427,8.62587,id_10989334,Hemsedal_change_dw_2016_2020,3,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.62587076585597,60.84270226913537]}"
518,"60.87867, 8.48104",60.87867,8.48104,id_11158227,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.481043221773469,60.87867309095357]}"
360,"60.96815, 8.42879",60.96815,8.42879,id_11168130,Hemsedal_change_dw_2016_2020,1,8,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.42879043717532,60.96815407286421]}"
395,"60.83129, 8.53735",60.83129,8.53735,id_11224433,Hemsedal_change_dw_2016_2020,1,4,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.537354940055765,60.83129374704355]}"
368,"60.9366, 8.13484",60.9366,8.13484,id_11280471,Hemsedal_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.134843592758196,60.936599837242]}"
227,"60.93113, 8.13518",60.93113,8.13518,id_11307063,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.135176590134927,60.93112506895803]}"
512,"60.86431, 8.55731",60.86431,8.55731,id_11461004,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.557313633121183,60.86431114681335]}"
297,"61.01253, 8.45611",61.01253,8.45611,id_11486826,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.456108585356228,61.012529253462155]}"
409,"60.89553, 8.55098",60.89553,8.55098,id_11607108,Hemsedal_change_dw_2016_2020,2,3,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.550983777406413,60.89553434689564]}"
308,"60.91561, 8.13781",60.91561,8.13781,id_11652033,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.137809986605907,60.91560906696085]}"
174,"60.94847, 8.53972",60.94847,8.53972,id_11766719,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.539716421023142,60.9484674571521]}"
422,"60.88324, 8.82361",60.88324,8.82361,id_11830845,Hemsedal_change_dw_2016_2020,2,1,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.82361350898329,60.88323927545035]}"
488,"60.87524, 8.52401",60.87524,8.52401,id_12343148,Hemsedal_change_dw_2016_2020,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.524011260263467,60.875240662468904]}"
351,"60.93105, 8.36414",60.93105,8.36414,id_12434912,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.364142978385994,60.93105376033936]}"
11,"60.93018, 8.2007",60.93018,8.2007,id_12543229,Hemsedal_change_dw_2016_2020,1,6,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.200698488308491,60.93018304353232]}"
363,"61.01062, 8.3485",61.01062,8.3485,id_12752364,Hemsedal_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.348495542240446,61.01061609027404]}"
542,"60.86465, 8.55013",60.86465,8.55013,id_12855039,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.550128650071226,60.864646437585364]}"
75,"60.82602, 8.74743",60.82602,8.74743,id_13136270,Hemsedal_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.747431610379932,60.82601683256505]}"
