system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
544,"60.6739, 7.99584",60.6739,7.99584,id_10128339,Hol_change_dw_2015_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.995844488436713,60.67390073321692]}"
247,"60.80029, 7.87833",60.80029,7.87833,id_10262068,Hol_change_dw_2015_2020,1,5,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.878328453531634,60.800292662291184]}"
300,"60.6458, 7.73136",60.6458,7.73136,id_10310938,Hol_change_dw_2015_2020,1,9,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.731363894080693,60.64579580562422]}"
115,"60.65921, 7.98917",60.65921,7.98917,id_10612140,Hol_change_dw_2015_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.989166693461197,60.659214602480056]}"
269,"60.61155, 8.26759",60.61155,8.26759,id_10779812,Hol_change_dw_2015_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.26759453577666,60.611553804259245]}"
3,"60.67653, 8.14202",60.67653,8.14202,id_10784557,Hol_change_dw_2015_2020,1,6,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.14201594908754,60.676532939672825]}"
237,"60.40679, 8.14005",60.40679,8.14005,id_10917387,Hol_change_dw_2015_2020,1,9,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.140050518940507,60.40678978250744]}"
223,"60.71274, 8.01534",60.71274,8.01534,id_109712,Hol_change_dw_2015_2020,1,9,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.015340413477567,60.71274499817046]}"
436,"60.67012, 7.94728",60.67012,7.94728,id_11193654,Hol_change_dw_2015_2020,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.947281198167787,60.67011579445625]}"
264,"60.65492, 7.8265",60.65492,7.8265,id_11371551,Hol_change_dw_2015_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.826495431230629,60.654924587092545]}"
429,"60.48243, 8.28288",60.48243,8.28288,id_11472912,Hol_change_dw_2015_2020,2,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.282879429059863,60.482430526732685]}"
59,"60.70214, 7.56682",60.70214,7.56682,id_11639171,Hol_change_dw_2015_2020,1,9,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.566824413422826,60.70214476590024]}"
359,"60.5823, 7.94722",60.5823,7.94722,id_11655873,Hol_change_dw_2015_2020,1,9,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.947219305826931,60.58229877060686]}"
470,"60.61079, 8.27638",60.61079,8.27638,id_1239345,Hol_change_dw_2015_2020,3,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.276379842335999,60.610793521807004]}"
317,"60.57271, 7.94917",60.57271,7.94917,id_12420841,Hol_change_dw_2015_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.949173458728953,60.57270634058408]}"
308,"60.57866, 8.12782",60.57866,8.12782,id_12490933,Hol_change_dw_2015_2020,1,4,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.127822876045535,60.57866054283112]}"
88,"60.51777, 8.07208",60.51777,8.07208,id_12510220,Hol_change_dw_2015_2020,1,9,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.072083709442953,60.51776596260542]}"
215,"60.67809, 7.48606",60.67809,7.48606,id_12997334,Hol_change_dw_2015_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.486060570835352,60.678088421552445]}"
84,"60.80961, 7.72525",60.80961,7.72525,id_13298281,Hol_change_dw_2015_2020,1,9,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.725253435706819,60.809612392562116]}"
506,"60.52099, 8.1955",60.52099,8.1955,id_13402432,Hol_change_dw_2015_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.19549969916334,60.52099101927429]}"
