system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
385,"59.97757, 10.32613",59.97757,10.32613,id_10224827,Hole_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.326126021933888,59.97757097532799]}"
226,"60.08242, 10.24765",60.08242,10.24765,id_10469953,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.247648134785193,60.082417501395675]}"
262,"60.03636, 10.44875",60.03636,10.44875,id_10767464,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.448751550646088,60.03636296546511]}"
471,"60.06345, 10.31448",60.06345,10.31448,id_10834543,Hole_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.314480265232417,60.06345042675994]}"
45,"59.98727, 10.29891",59.98727,10.29891,id_11062893,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.298911455649367,59.9872710106637]}"
164,"60.01297, 10.31517",60.01297,10.31517,id_11261778,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.315166599223195,60.012973783213354]}"
219,"60.02795, 10.34394",60.02795,10.34394,id_11286022,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.343936811053705,60.02795103381166]}"
382,"60.08803, 10.19375",60.08803,10.19375,id_11528410,Hole_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.193746150417377,60.08803351758661]}"
410,"60.03178, 10.2653",60.03178,10.2653,id_11870740,Hole_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.265301243993752,60.03178065579806]}"
286,"60.08728, 10.23651",60.08728,10.23651,id_12031951,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.23650593447188,60.08728161449333]}"
260,"60.06105, 10.18828",60.06105,10.18828,id_1209584,Hole_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.188280607508224,60.06105252494292]}"
108,"60.03794, 10.33321",60.03794,10.33321,id_1247760,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.333212729787435,60.03793814036312]}"
338,"60.03585, 10.4218",60.03585,10.4218,id_12569668,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.421803131949696,60.0358473610535]}"
202,"60.02432, 10.26573",60.02432,10.26573,id_12880176,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.265733872104551,60.02432284686624]}"
322,"60.02215, 10.38407",60.02215,10.38407,id_12990524,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.38407262603001,60.022148429092894]}"
472,"60.10984, 10.22494",60.10984,10.22494,id_13208649,Hole_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.224938360364128,60.109839610833696]}"
451,"60.11256, 10.24177",60.11256,10.24177,id_13296730,Hole_change_dw_2016_2022,3,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.241771415527067,60.11255642539616]}"
415,"60.08989, 10.2357",60.08989,10.2357,id_13366276,Hole_change_dw_2016_2022,2,1,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.235704804211153,60.08989335421737]}"
374,"60.07127, 10.34067",60.07127,10.34067,id_13508896,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.340667333163644,60.07126990018198]}"
210,"60.03798, 10.41579",60.03798,10.41579,id_13928255,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.41579112797944,60.03797743447578]}"
445,"60.05579, 10.28939",60.05579,10.28939,id_13934092,Hole_change_dw_2016_2022,3,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.2893897861956,60.05579475831964]}"
437,"60.11259, 10.23853",60.11259,10.23853,id_1412528,Hole_change_dw_2016_2022,3,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.238534069946986,60.11258675359014]}"
90,"59.97666, 10.31892",59.97666,10.31892,id_14368124,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.318922171255808,59.97665529154883]}"
509,"60.08041, 10.27885",60.08041,10.27885,id_14498689,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.278847423566944,60.08041333810796]}"
198,"59.98497, 10.33126",59.98497,10.33126,id_14617288,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.331261228475515,59.9849731033415]}"
58,"60.05811, 10.3272",60.05811,10.3272,id_14706405,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.32720085623934,60.05811474898352]}"
