system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
422,"59.17945, 10.95712",59.17945,10.95712,id_10568709,Fredrikstad_change_dw_2017_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.957117870178934,59.17945142302359]}"
400,"59.23844, 10.91667",59.23844,10.91667,id_1080361,Fredrikstad_change_dw_2017_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.916667928846095,59.238442211691115]}"
300,"59.25118, 10.77199",59.25118,10.77199,id_10823575,Fredrikstad_change_dw_2017_2022,1,5,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.77199368251623,59.251182268009934]}"
514,"59.23793, 10.98694",59.23793,10.98694,id_10888739,Fredrikstad_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.9869409386628,59.2379267896021]}"
47,"59.17896, 10.7854",59.17896,10.7854,id_11029107,Fredrikstad_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.78540445743929,59.17895993549272]}"
348,"59.20072, 11.05746",59.20072,11.05746,id_11048636,Fredrikstad_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.057457481578641,59.200718484645385]}"
63,"59.24793, 10.64311",59.24793,10.64311,id_11588482,Fredrikstad_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.643113322101422,59.247933291777905]}"
192,"59.22064, 11.04762",59.22064,11.04762,id_1161301,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.047616904306697,59.22063665011556]}"
237,"59.21093, 11.02479",59.21093,11.02479,id_1167248,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.024787514896156,59.21093315268448]}"
46,"59.24188, 11.03311",59.24188,11.03311,id_11715931,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.033110273753259,59.241884530905246]}"
270,"59.16573, 10.67993",59.16573,10.67993,id_11723651,Fredrikstad_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.679927552035078,59.1657252475505]}"
28,"59.23351, 11.0575",59.23351,11.0575,id_11789601,Fredrikstad_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.057503923781292,59.233506064144244]}"
156,"59.10967, 10.63806",59.10967,10.63806,id_12152321,Fredrikstad_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.638062642769953,59.109672032449204]}"
