system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
101,"60.74741, 9.06851",60.74741,9.06851,id_10033846,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.06851353956938,60.74740811908251]}"
214,"60.67699, 8.81193",60.67699,8.81193,id_10258723,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.811930687706123,60.676993563896225]}"
75,"60.68628, 8.98013",60.68628,8.98013,id_11119506,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.980134906787846,60.68628200021323]}"
125,"60.70998, 8.84142",60.70998,8.84142,id_11297958,Gol_change_dw_2016_2020,1,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.84142022111083,60.709982213263295]}"
211,"60.8188, 8.84143",60.8188,8.84143,id_12570502,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.841433603783239,60.81879851661746]}"
135,"60.69661, 8.9957",60.69661,8.9957,id_12580500,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.99569604289026,60.6966084738834]}"
478,"60.70333, 8.94605",60.70333,8.94605,id_12825950,Gol_change_dw_2016_2020,3,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.946051910868272,60.70333141987316]}"
533,"60.69703, 8.92097",60.69703,8.92097,id_12893296,Gol_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.920970964106989,60.697034159142085]}"
510,"60.70279, 8.9303",60.70279,8.9303,id_13000737,Gol_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.930299147929318,60.70278545582026]}"
529,"60.71429, 8.94695",60.71429,8.94695,id_13159428,Gol_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.946949790280286,60.71428530488942]}"
321,"60.68536, 8.91423",60.68536,8.91423,id_13231417,Gol_change_dw_2016_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.914225520101416,60.685358186151014]}"
477,"60.66694, 8.81565",60.66694,8.81565,id_13238017,Gol_change_dw_2016_2020,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.815648887070944,60.66694295484056]}"
414,"60.83272, 9.01223",60.83272,9.01223,id_1341705,Gol_change_dw_2016_2020,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.012231003431362,60.832717850522684]}"
