system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
392,"60.88929, 8.59179",60.88929,8.59179,id_1021929,Hemsedal_change_dw_2016_2020,2,3,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.591791460861105,60.88928979042309]}"
478,"60.84248, 8.64409",60.84248,8.64409,id_10294684,Hemsedal_change_dw_2016_2020,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.644087643822443,60.84248238128417]}"
336,"60.95546, 8.13599",60.95546,8.13599,id_10332272,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.135993327481023,60.95546210433804]}"
85,"61.05732, 8.26455",61.05732,8.26455,id_10504181,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.264552783244245,61.05732051151759]}"
234,"60.9067, 8.28794",60.9067,8.28794,id_10525671,Hemsedal_change_dw_2016_2020,1,6,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.287935256725708,60.90670018334909]}"
230,"61.0055, 8.24578",61.0055,8.24578,id_10597415,Hemsedal_change_dw_2016_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.245778865061911,61.00550210812912]}"
238,"60.93431, 8.29728",60.93431,8.29728,id_10705684,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.297282832366182,60.934312893241]}"
498,"60.87867, 8.48104",60.87867,8.48104,id_10933713,Hemsedal_change_dw_2016_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.481043221773469,60.87867309095357]}"
319,"60.87565, 8.59546",60.87565,8.59546,id_11128983,Hemsedal_change_dw_2016_2020,1,5,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.595464875947394,60.87565404520812]}"
443,"60.83641, 8.62227",60.83641,8.62227,id_11190039,Hemsedal_change_dw_2016_2020,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.62226534563901,60.83640743058097]}"
260,"60.83062, 8.7599",60.83062,8.7599,id_11240063,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.759901459218586,60.83061855904112]}"
343,"60.97699, 8.43732",60.97699,8.43732,id_11298544,Hemsedal_change_dw_2016_2020,1,6,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.437315783608549,60.97698853493489]}"
