system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
325,"60.47158, 8.5534",60.47158,8.5534,id_10022742,Hol_change_dw_2015_2020,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.553396618863234,60.47157879860545]}"
238,"60.71274, 8.01534",60.71274,8.01534,id_10114569,Hol_change_dw_2015_2020,1,9,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.015340413477567,60.71274499817046]}"
314,"60.53821, 7.98255",60.53821,7.98255,id_10182407,Hol_change_dw_2015_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.982553022957181,60.53821495579389]}"
6,"60.69568, 7.57517",60.69568,7.57517,id_10195793,Hol_change_dw_2015_2020,1,9,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.57517173591366,60.69567855038293]}"
497,"60.61967, 8.13804",60.61967,8.13804,id_10253892,Hol_change_dw_2015_2020,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.138044757608414,60.61967095837527]}"
337,"60.657, 7.58639",60.657,7.58639,id_10478638,Hol_change_dw_2015_2020,1,9,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.58639390712737,60.65700483049586]}"
200,"60.40107, 8.40917",60.40107,8.40917,id_10657131,Hol_change_dw_2015_2020,1,6,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.409172323819202,60.401072197234754]}"
283,"60.57421, 8.07995",60.57421,8.07995,id_10664768,Hol_change_dw_2015_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.079954333811077,60.574209283039586]}"
319,"60.44214, 8.34046",60.44214,8.34046,id_10697608,Hol_change_dw_2015_2020,1,9,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.340464008924789,60.44214283059089]}"
9,"60.64033, 8.18284",60.64033,8.18284,id_10778564,Hol_change_dw_2015_2020,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.182836894359529,60.64033407585798]}"
