system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
236,"60.05471, 10.19488",60.05471,10.19488,id_10227895,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.194877273976939,60.05470697099389]}"
201,"60.06762, 10.30135",60.06762,10.30135,id_10662711,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.301350374428658,60.06762143430805]}"
138,"60.02013, 10.38847",60.02013,10.38847,id_11178988,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.388473545778384,60.020126534116145]}"
394,"60.12296, 10.30839",60.12296,10.30839,id_11264554,Hole_change_dw_2016_2022,2,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.308393661561007,60.12296044803709]}"
113,"59.97666, 10.31892",59.97666,10.31892,id_11323121,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.318922171255808,59.97665529154883]}"
100,"60.04478, 10.28591",60.04478,10.28591,id_11366264,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.285908084932581,60.04478286222094]}"
188,"60.02647, 10.43342",60.02647,10.43342,id_11737402,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.433423750577026,60.026471792259656]}"
66,"59.9829, 10.35824",59.9829,10.35824,id_11878103,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.358239589355797,59.98290221802213]}"
231,"60.07741, 10.16622",60.07741,10.16622,id_11902643,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.166224191150238,60.07741305864395]}"
79,"60.00657, 10.40476",60.00657,10.40476,id_12280877,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.404763787234076,60.00657325246749]}"
251,"60.06178, 10.33777",60.06178,10.33777,id_12499846,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.337767323414383,60.061780040485175]}"
238,"60.05845, 10.21729",60.05845,10.21729,id_12642249,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.217285612496985,60.058453860768125]}"
494,"60.11721, 10.28099",60.11721,10.28099,id_12758671,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.28099412656093,60.117211615655485]}"
135,"60.10735, 10.20272",60.10735,10.20272,id_13502562,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.202719843258617,60.10734931779577]}"
481,"60.06704, 10.29702",60.06704,10.29702,id_14116640,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.297015214172985,60.067035397151024]}"
472,"60.1153, 10.23684",60.1153,10.23684,id_14166459,Hole_change_dw_2016_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.236836542278205,60.1152966725116]}"
365,"60.00398, 10.27984",60.00398,10.27984,id_14282895,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.279840638432946,60.00398115051988]}"
451,"60.11395, 10.23661",60.11395,10.23661,id_14354855,Hole_change_dw_2016_2022,3,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.236606179262754,60.113951800827]}"
132,"60.05342, 10.13682",60.05342,10.13682,id_14405865,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.136822833437789,60.05342282980645]}"
505,"60.11212, 10.23132",60.11212,10.23132,id_14949022,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.231319834117587,60.11211524414577]}"
177,"60.03207, 10.3538",60.03207,10.3538,id_1499402,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.353796182516229,60.03207121967488]}"
265,"59.99913, 10.32591",59.99913,10.32591,id_15196470,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.325912907702598,59.999126265744756]}"
277,"60.03798, 10.41579",60.03798,10.41579,id_1521970,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.41579112797944,60.03797743447578]}"
63,"60.09002, 10.26088",60.09002,10.26088,id_1540343,Hole_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.260880408631781,60.09001505361283]}"
406,"59.97618, 10.32105",59.97618,10.32105,id_15445923,Hole_change_dw_2016_2022,2,3,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.321053602543266,59.97618495484801]}"
225,"60.02599, 10.32484",60.02599,10.32484,id_15533903,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.324835600973838,60.025988609569865]}"
133,"60.09325, 10.19286",60.09325,10.19286,id_15601173,Hole_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.192855959685668,60.09325001330679]}"
540,"60.05801, 10.18691",60.05801,10.18691,id_15711036,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.186913961371614,60.058011548134225]}"
420,"60.08989, 10.2357",60.08989,10.2357,id_15760636,Hole_change_dw_2016_2022,2,1,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.235704804211153,60.08989335421737]}"
90,"60.11448, 10.32155",60.11448,10.32155,id_15924529,Hole_change_dw_2016_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.321551766787051,60.11447808689892]}"
244,"60.12384, 10.29187",60.12384,10.29187,id_16064038,Hole_change_dw_2016_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.291870502056451,60.1238411144318]}"
470,"60.1143, 10.23752",60.1143,10.23752,id_16215868,Hole_change_dw_2016_2022,3,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.23751895524387,60.11430247769107]}"
407,"60.125, 10.31963",60.125,10.31963,id_16493656,Hole_change_dw_2016_2022,2,1,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.319633936724188,60.12500416652184]}"
430,"60.1022, 10.30973",60.1022,10.30973,id_16547512,Hole_change_dw_2016_2022,3,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.309728735557552,60.102202781382374]}"
233,"59.99633, 10.37098",59.99633,10.37098,id_16571843,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.37098166708924,59.996331162817356]}"
480,"60.10468, 10.26756",60.10468,10.26756,id_16704945,Hole_change_dw_2016_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.267556521347089,60.10467885015307]}"
148,"60.08944, 10.25511",60.08944,10.25511,id_16900732,Hole_change_dw_2016_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.255105201771064,60.089441345332105]}"
