system:index,CoordString,LATITUDE,LONGITUDE,PLOTID,batch,changeLC,endLC,startLC,.geo
302,"59.20842, 11.15339",59.20842,11.15339,id_10108206,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.153390123012073,59.208417455880905]}"
253,"59.39275, 11.10378",59.39275,11.10378,id_10136233,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.103783661349516,59.39275492084849]}"
182,"59.13476, 11.17428",59.13476,11.17428,id_10150814,Sarpsborg_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.174283466142299,59.13476451517293]}"
323,"59.2912, 11.07872",59.2912,11.07872,id_10237264,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.07872157654839,59.291199535277386]}"
264,"59.26527, 11.29613",59.26527,11.29613,id_10615348,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.296127062412145,59.26526736255031]}"
5,"59.24495, 11.2297",59.24495,11.2297,id_10744781,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.229698398877309,59.2449518368699]}"
139,"59.36134, 11.07949",59.36134,11.07949,id_10845303,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.079491764524182,59.36134468062522]}"
542,"59.271, 11.06696",59.271,11.06696,id_11063962,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.066960379167801,59.270995246909926]}"
27,"59.34554, 11.07342",59.34554,11.07342,id_11292194,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.073424760029358,59.34554143091]}"
319,"59.21187, 11.12943",59.21187,11.12943,id_11364970,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.12943079442784,59.211866445076495]}"
159,"59.20984, 11.17047",59.20984,11.17047,id_11467944,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.17047253776656,59.20984021798165]}"
325,"59.2922, 11.30198",59.2922,11.30198,id_11517501,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.301981289909849,59.292204940634406]}"
96,"59.20941, 11.24893",59.20941,11.24893,id_11540738,Sarpsborg_change_dw_2017_2022,1,2,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.248927284592497,59.209405012250826]}"
87,"59.32727, 11.16935",59.32727,11.16935,id_11577989,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.169345033689883,59.32727137883375]}"
83,"59.21826, 11.13964",59.21826,11.13964,id_11712410,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.139641558975416,59.218256629457194]}"
210,"59.24584, 11.23011",59.24584,11.23011,id_12035481,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.23010736384892,59.24584318134396]}"
528,"59.28566, 11.08225",59.28566,11.08225,id_12246510,Sarpsborg_change_dw_2017_2022,4,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.082246447485572,59.28566353547994]}"
279,"59.15304, 11.13924",59.15304,11.13924,id_1229142,Sarpsborg_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.139240571476087,59.15304402487757]}"
180,"59.12326, 11.16936",59.12326,11.16936,id_12323095,Sarpsborg_change_dw_2017_2022,1,8,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.169360310703377,59.12325814664292]}"
307,"59.34278, 11.10016",59.34278,11.10016,id_12731746,Sarpsborg_change_dw_2017_2022,1,6,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.10016342831582,59.34277774953755]}"
